13.2;654.466;932.017;-299.015;211.593;-125.078;232.033
13.3;674.804;918.142;-275.111;194.193;-151.769;245.862
13.4;693.122;901.813;-249.882;171.349;-173.96;258.508
13.5;708.931;883.538;-223.45;144.231;-190.527;269.909
13.6;721.872;863.924;-195.943;114.234;-200.647;280.012
13.7;731.733;843.641;-167.493;82.9043;-203.833;288.766
13.8;738.462;823.393;-138.237;51.8572;-199.966;296.13
13.9;742.167;803.876;-108.315;22.6937;-189.299;302.069
14;743.114;785.741;-77.8712;-3.0854;-172.444;306.554
14.1;741.708;769.563;-47.053;-24.1588;-150.339;309.563
14.2;738.475;755.808;-16.0083;-39.4541;-124.197;311.082
14.3;734.036;744.811;15.1135;-48.2045;-95.4477;311.104
14.4;729.068;736.754;46.1625;-49.9896;-65.6545;309.628
14.5;724.273;731.661;76.9893;-44.7569;-36.4373;306.661
14.6;720.341;729.394;107.446;-32.8255;-9.38472;302.219
14.7;717.91;729.662;137.385;-14.8684;14.0295;296.321
14.8;717.536;732.035;166.662;8.1225;32.524;288.997
14.9;719.661;735.968;195.138;34.889;45.0779;280.283
15;724.591;740.828;222.674;63.9732;50.9845;270.218
15.1;732.48;745.93;249.138;93.7941;49.8886;258.854
15.2;743.32;750.572;274.403;122.731;41.8053;246.243
15.3;756.944;754.07;298.347;149.211;27.1192;232.446
15.4;773.032;755.799;320.855;171.789;6.56408;217.531
15.5;791.13;755.221;341.818;189.226;-18.8157;201.569
15.6;810.673;751.918;361.136;200.553;-47.7207;184.636
15.7;831.014;745.609;378.716;205.126;-78.6647;166.815
15.8;851.462;736.17;394.473;202.654;-110.053;148.191
15.9;871.312;723.637;408.33;193.221;-140.268;128.853
16;889.888;708.208;420.222;177.276;-167.752;108.895
16.1;906.576;690.226;430.092;155.611;-191.092;88.413
16.2;920.856;670.168;437.891;129.321;-209.093;67.5052
16.3;932.33;648.616;443.582;99.7458;-220.842;46.2726
16.4;940.745;626.228;447.138;68.3961;-225.755;24.8172
16.5;946.003;603.702;448.541;36.8771;-223.609;3.24231
16.6;948.169;581.738;447.786;6.80254;-214.553;-18.3482
16.7;947.464;561.005;444.875;-20.2907;-199.101;-39.8503
16.8;944.257;542.104;439.822;-43.0236;-178.103;-61.1606
16.9;939.043;525.532;432.652;-60.2475;-152.702;-82.1766
17;932.42;511.665;423.4;-71.1053;-124.274;-102.797
17.1;925.053;500.728;412.11;-75.0765;-94.3522;-122.922
17.2;917.641;492.79;398.835;-72.0045;-64.5503;-142.456
17.3;910.88;487.76;383.641;-62.105;-36.4738;-161.304
17.4;905.429;485.387;366.6;-45.9548;-11.6369;-179.376
17.5;901.868;485.279;347.795;-24.4609;8.61786;-196.584
17.6;900.676;486.92;327.315;1.18694;23.1906;-212.846
17.7;902.198;489.7;305.26;29.5794;31.2821;-228.083
17.8;906.632;492.945;281.735;59.1618;32.436;-242.223
17.9;914.016;495.952;256.854;88.3164;26.5627;-255.196
18;924.227;498.031;230.737;115.448;13.9447;-266.941
18.1;936.988;498.537;203.509;139.067;-4.779;-277.401
18.2;951.88;496.903;175.301;157.871;-28.6462;-286.526
18.3;968.366;492.677;146.25;170.809;-56.4226;-294.271
18.4;985.82;485.536;116.494;177.141;-86.6667;-300.6
18.5;1003.56;475.313;86.178;176.476;-117.806;-305.482
18.6;1020.88;461.999;55.447;168.792;-148.221;-308.893
18.7;1037.09;445.746;24.449;154.438;-176.328;-310.818
18.8;1051.57;426.86;-6.66669;134.112;-200.666;-311.246
18.9;1063.75;405.781;-37.7503;108.831;-219.973;-310.176
19;1073.21;383.067;-68.6521;79.8716;-233.25;-307.613
19.1;1079.65;359.356;-99.2235;48.7047;-239.819;-303.569
19.2;1082.93;335.339;-129.317;16.9176;-239.352;-298.064
19.3;1083.07;311.719;-158.789;-13.8698;-231.894;-291.125
19.4;1080.24;289.18;-187.495;-42.0908;-217.859;-282.783
19.5;1074.78;268.342;-215.3;-66.3142;-198.007;-273.081
19.6;1067.15;249.738;-242.068;-85.3203;-173.405;-262.064
19.7;1057.93;233.776;-267.671;-98.1652;-145.369;-249.786
19.8;1047.75;220.729;-291.985;-104.23;-115.398;-236.305
19.9;1037.32;210.708;-314.894;-103.255;-85.0897;-221.686
20;1027.33;203.668;-336.287;-95.3524;-56.0616;-206.001
20.1;1018.46;199.401;-356.061;-80.999;-29.8616;-189.324
20.2;1011.32;197.554;-374.121;-61.014;-7.88788;-171.736
20.3;1006.41;197.643;-390.38;-36.5135;8.6852;-153.32
20.4;1004.12;199.081;-404.76;-8.85247;18.9692;-134.167
20.5;1004.69;201.208;-417.192;20.4472;22.4084;-114.368
20.6;1008.21;203.327;-427.616;49.7771;18.8092;-94.0189
20.7;1014.6;204.74;-435.981;77.5267;8.35052;-73.2168
20.8;1023.61;204.785;-442.247;102.169;-8.42595;-52.0623
20.9;1034.88;202.872;-446.385;122.342;-30.6442;-30.6572
21;1047.89;198.513;-448.374;136.917;-57.1401;-9.10452
21.1;1062.05;191.348;-448.204;145.064;-86.523;12.492
21.2;1076.68;181.164;-445.877;146.29;-117.249;34.0284
21.3;1091.07;167.907;-441.404;140.47;-147.703;55.401
21.4;1104.54;151.685;-434.806;127.847;-176.284;76.5069
